title,description,published_at,source,compound,sentiment_label
"The five most noteworthy NWSL kits of 2026: Disco balls, a Lady Liberty fever dream and more","This year’s crop of tops draw on Venus flytraps, cherry blossoms and classic soccer jersey designs – to varying degrees of success",2026-02-26T17:59:04Z,Yahoo Entertainment,0.9081,Positive
"Despite Mexico violence, FIFA president Gianni Infantino says World Cup will be a 'party'",FIFA President Gianni Infantino says he's confident the World Cup will be 'a party' in Mexico despite the recent outbreak of violence.,2026-02-26T17:45:44Z,USA Today,0.7779,Positive
Andrews rewarded with six-year contract at Brentford,Keith Andrews has signed a six-year contract with Brentford after a dream start to his managerial career in the Premier League.,2026-02-26T17:34:41Z,RTE,0.6369,Positive
"Cristiano Ronaldo net worth: How much money soccer star has made in career earnings, endorsements and more","Cristiano Ronaldo is not just one of the most famous football players of the current generation, but one of the greatest the sport has ever seen.",2026-02-26T17:25:19Z,Sporting News,0.8047,Positive
Ryan Reynolds’ Wrexham faces financial hit from collapsed broker,"Wrexham AFC, the soccer club controlled by Ryan Reynolds, is likely to lose some of its money held at a collapsed U.K. brokerage. Read here",2026-02-26T16:58:05Z,Financial Post,-0.7096,Negative
Cristiano Ronaldo buys 25% stake in Spanish soccer club Almeria,"Portuguese soccer icon Cristiano Ronaldo purchased a 25% ownership stake in Spanish club Almeria, the La Liga 2 team announced Thursday.",2026-02-26T16:36:37Z,UPI.com,0.0,Neutral
"What's best for LPGA Tour: dominance or parity? Annika Sörenstam, Lexi Thompson weigh in","The LPGA Tour carried momentum into 2026 after featuring an exciting, varied set of winners last season",2026-02-26T16:29:27Z,CBS Sports,0.9062,Positive
Italy’s Striker Dilemma: Who Should Lead the Attack in World Cup Playoff?,Gennaro Gattuso wasn't handed the easiest of tasks when he succeeded Luciano Spalletti as Italy manager. The Azzurri had just been thumped 3-0 in Oslo by,2026-02-26T15:17:10Z,Football Italia,-0.5158,Negative
"Cristiano Ronaldo joins Lionel Messi, Kylian Mbappe, Vinicius as Al-Nassr icon buys 25% stake in club he once tormented with Real Madrid in La Liga","Cristiano Ronaldo has joined Lionel Messi, Kylian Mbappe, and Vinicius in redefining what it means to be a modern soccer superstar.
 Cristiano Ronaldo has joined Lionel Messi, Kylian Mbappe, and Vinicius in redefining what it means to be a modern soccer super…",2026-02-26T15:11:57Z,Worldsoccertalk.com,0.0,Neutral
Jurgen Klopp: Red Bull deny exit rumours amid Real Madrid links,Jurgen Klopp has been linked with a string of jobs since leaving Liverpool,2026-02-26T13:56:28Z,101 Great Goals,-0.34,Negative
Gianni Infantino has no doubts about Mexico despite cartel problems and confirms World Cup will not change venues,"Despite the wave of violence unleashed after the death of Nemesio Oseguera Cervantes, alias &quot;El Mencho&quot;, FIFA president Gianni Infantino assured that the World Cup schedu",2026-02-26T13:40:30Z,Marca,-0.5194,Negative
Gianni Infantino's commitment to women's soccer is no lip service | Opinion,Former USWNT coach Jill Ellis says FIFA president Gianni Infantino is making real progress with the women's game.,2026-02-26T12:03:22Z,USA Today,0.4939,Positive
Cristiano Ronaldo: Man United legend takes on new role at UD Almeria,"Manchester United legend Cristiano Ronaldo has taken another step towards his post-playing days.Man United careerThe global superstar joined Manchester United in 2003, winning multiple league titles a...",2026-02-26T11:40:00Z,The Peoples Person,0.9274,Positive
Former Chelsea star praises Rosenior for being ‘true to himself’ under ‘intense pressure’,"Ex-Chelsea player Tony Dorigo praised Liam Rosenior for the way he has approached his role as head coach of the Blues.Dorigo played for Chelsea between 1987 and 1991, and was speaking with Hayters TV ...",2026-02-26T11:40:00Z,Hayters.com,0.8402,Positive
Red Bull chief responds to speculation over Jürgen Klopp's future,"A recent report from Salzburger Nachrichten raised questions about Jürgen Klopp’s future as Red Bull’s Head of Global Soccer, suggesting that he could leave the position.However, the speculation ...",2026-02-26T10:51:00Z,Bulinews.com,-0.0516,Negative
"Cristiano Ronaldo buys 25% of U.D. Almería, a Spanish soccer team","Portuguese star Cristiano Ronaldo has taken a new step in his career off the pitch by acquiring 25% of UD Almeria, currently third in the Liga Hypermotion (Spanish Second Division)",2026-02-26T10:35:13Z,Marca,0.0,Neutral
